loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
 198  0.62156 0.00000  0.60866 0.05904
 199  0.61555 0.00000  0.60868 0.05903
 200  0.61614 0.00000  0.60864 0.05903
 201  0.62032 0.00000  0.60864 0.05902
 202  0.61343 0.00000  0.60865 0.05902
 203  0.61463 0.00000  0.60863 0.05902
 204  0.62238 0.00000  0.60868 0.05902
 205  0.62004 0.00000  0.60868 0.05901
 206  0.61361 0.00000  0.60863 0.05901
 207  0.61295 0.00000  0.60861 0.05901
 208  0.62123 0.00000  0.60864 0.05900
 209  0.60910 0.00000  0.60861 0.05900
 210  0.62095 0.00000  0.60862 0.05899
 211  0.62032 0.00000  0.60869 0.05899
 212  0.61544 0.00000  0.60868 0.05899
 213  0.61374 0.00000  0.60866 0.05898
 214  0.62341 0.00000  0.60868 0.05898
 215  0.61578 0.00000  0.60867 0.05898
 216  0.61657 0.00000  0.60867 0.05897
 217  0.61411 0.00000  0.60869 0.05897
 218  0.61477 0.00000  0.60867 0.05897
 219  0.61555 0.00000  0.60867 0.05896
 220  0.62620 0.00000  0.60871 0.05895
 221  0.61499 0.00000  0.60867 0.05895
 222  0.61706 0.00000  0.60870 0.05895
 223  0.61446 0.00000  0.60869 0.05894
 224  0.62114 0.00000  0.60875 0.05894
 225  0.62030 0.00000  0.60874 0.05894
 226  0.61958 0.00000  0.60878 0.05894
 227  0.62059 0.00000  0.60877 0.05893
 228  0.61629 0.00000  0.60876 0.05893
 229  0.61647 0.00000  0.60872 0.05893
 230  0.61434 0.00000  0.60869 0.05892
 231  0.61693 0.00000  0.60871 0.05892
 232  0.61527 0.00000  0.60873 0.05892
 233  0.61391 0.00000  0.60871 0.05892
 234  0.62120 0.00000  0.60872 0.05892
 235  0.62291 0.00000  0.60878 0.05891
 236  0.61465 0.00000  0.60875 0.05891
 237  0.61579 0.00000  0.60877 0.05891
 238  0.62406 0.00000  0.60880 0.05891
 239  0.62259 0.00000  0.60882 0.05890
 240  0.61851 0.00000  0.60880 0.05890
 241  0.61112 0.00000  0.60877 0.05890
 242  0.61489 0.00000  0.60875 0.05890
 243  0.61285 0.00000  0.60873 0.05889
 244  0.61586 0.00000  0.60872 0.05888
 245  0.61519 0.00000  0.60871 0.05887
 246  0.61410 0.00000  0.60871 0.05887
 247  0.61605 0.00000  0.60872 0.05887
 248  0.61386 0.00000  0.60867 0.05886
 249  0.62022 0.00000  0.60871 0.05886
 250  0.61639 0.00000  0.60871 0.05886
 251  0.61512 0.00000  0.60867 0.05886
 252  0.60655 0.00000  0.60867 0.05885
 253  0.62004 0.00000  0.60869 0.05885
 254  0.61988 0.00000  0.60876 0.05884
 255  0.61796 0.00000  0.60879 0.05884
 256  0.61619 0.00000  0.60876 0.05884
 257  0.61754 0.00000  0.60880 0.05884
 258  0.61492 0.00000  0.60877 0.05884
 259  0.61975 0.00000  0.60884 0.05883
 260  0.61774 0.00000  0.60883 0.05883
 261  0.62013 0.00000  0.60881 0.05883
 262  0.61457 0.00000  0.60880 0.05883
 263  0.61663 0.00000  0.60882 0.05883
 264  0.61738 0.00000  0.60881 0.05883
 265  0.62131 0.00000  0.60884 0.05883
 266  0.62189 0.00000  0.60885 0.05883
 267  0.61752 0.00000  0.60886 0.05882
 268  0.62079 0.00000  0.60886 0.05882
 269  0.61468 0.00000  0.60883 0.05882
 270  0.62302 0.00000  0.60890 0.05882
 271  0.62065 0.00000  0.60893 0.05883
 272  0.61663 0.00000  0.60889 0.05882
 273  0.62179 0.00000  0.60890 0.05882
 274  0.61743 0.00000  0.60893 0.05881
 275  0.61324 0.00000  0.60891 0.05881
 276  0.61654 0.00000  0.60894 0.05880
 277  0.61632 0.00000  0.60890 0.05880
 278  0.61577 0.00000  0.60886 0.05879
 279  0.61300 0.00000  0.60884 0.05879
 280  0.61981 0.00000  0.60891 0.05879
 281  0.61780 0.00000  0.60889 0.05879
 282  0.62007 0.00000  0.60891 0.05878
 283  0.61684 0.00000  0.60888 0.05878
 284  0.61104 0.00000  0.60884 0.05878
 285  0.62092 0.00000  0.60889 0.05877
 286  0.61633 0.00000  0.60886 0.05878
 287  0.62301 0.00000  0.60891 0.05877
 288  0.61946 0.00000  0.60891 0.05876
 289  0.61721 0.00000  0.60892 0.05876
 290  0.61878 0.00000  0.60893 0.05876
 291  0.61723 0.00000  0.60892 0.05876
 292  0.61916 0.00000  0.60891 0.05875
 293  0.62093 0.00000  0.60892 0.05875
 294  0.62030 0.00000  0.60894 0.05875
 295  0.61332 0.00000  0.60889 0.05875
 296  0.61642 0.00000  0.60889 0.05875
 297  0.61821 0.00000  0.60892 0.05875
 298  0.62116 0.00000  0.60897 0.05875
 299  0.61393 0.00000  0.60897 0.05875
 300  0.61865 0.00000  0.60899 0.05876
 301  0.61852 0.00000  0.60899 0.05876
 302  0.61556 0.00000  0.60895 0.05875
 303  0.62257 0.00000  0.60902 0.05876
 304  0.61892 0.00000  0.60903 0.05875
 305  0.61963 0.00000  0.60903 0.05875
 306  0.61645 0.00000  0.60898 0.05875
 307  0.61115 0.00000  0.60894 0.05875
 308  0.61802 0.00000  0.60892 0.05874
 309  0.62048 0.00000  0.60893 0.05874
 310  0.61428 0.00000  0.60896 0.05874
 311  0.61499 0.00000  0.60892 0.05874
 312  0.61106 0.00000  0.60887 0.05874
 313  0.62260 0.00000  0.60892 0.05874
 314  0.61856 0.00000  0.60890 0.05873
 315  0.61566 0.00000  0.60891 0.05873
 316  0.61651 0.00000  0.60893 0.05873
 317  0.61288 0.00000  0.60889 0.05873
 318  0.62182 0.00000  0.60892 0.05873
 319  0.61214 0.00000  0.60889 0.05872
 320  0.62115 0.00000  0.60891 0.05872
 321  0.61834 0.00000  0.60895 0.05872
 322  0.62155 0.00000  0.60894 0.05871
 323  0.61710 0.00000  0.60897 0.05871
 324  0.61396 0.00000  0.60891 0.05871
 325  0.62005 0.00000  0.60896 0.05871
 326  0.61790 0.00000  0.60898 0.05871
 327  0.61730 0.00000  0.60899 0.05871
 328  0.62210 0.00000  0.60901 0.05871
 329  0.61699 0.00000  0.60899 0.05871
 330  0.61767 0.00000  0.60898 0.05870
 331  0.61439 0.00000  0.60892 0.05870
 332  0.61492 0.00000  0.60893 0.05869
 333  0.61953 0.00000  0.60895 0.05869
 334  0.62375 0.00000  0.60900 0.05870
 335  0.62070 0.00000  0.60901 0.05870
 336  0.61864 0.00000  0.60898 0.05869
 337  0.61925 0.00000  0.60903 0.05869
 338  0.61687 0.00000  0.60900 0.05869
 339  0.62368 0.00000  0.60902 0.05868
 340  0.62101 0.00000  0.60904 0.05868
 341  0.61629 0.00000  0.60902 0.05868
 342  0.62039 0.00000  0.60902 0.05867
 343  0.62232 0.00000  0.60905 0.05868
 344  0.62425 0.00000  0.60909 0.05868
 345  0.61598 0.00000  0.60908 0.05867
 346  0.61698 0.00000  0.60906 0.05867
 347  0.62017 0.00000  0.60909 0.05867
