loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
 379  0.45216 0.00000  0.43974 0.00000
 380  0.44040 0.00000  0.43976 0.00000
 381  0.44228 0.00000  0.43975 0.00000
 382  0.43213 0.00000  0.43976 0.00000
 383  0.43374 0.00000  0.43968 0.00000
 384  0.43648 0.00000  0.43972 0.00000
 385  0.43913 0.00000  0.43974 0.00000
 386  0.43200 0.00000  0.43977 0.00000
 387  0.43110 0.00000  0.43974 0.00000
 388  0.44036 0.00000  0.43975 0.00000
 389  0.43501 0.00000  0.43976 0.00000
 390  0.43721 0.00000  0.43973 0.00000
 391  0.43272 0.00000  0.43978 0.00000
 392  0.43226 0.00000  0.43973 0.00000
 393  0.44667 0.00000  0.43976 0.00000
 394  0.43130 0.00000  0.43974 0.00000
 395  0.44071 0.00000  0.43976 0.00000
 396  0.43655 0.00000  0.43972 0.00000
 397  0.43255 0.00000  0.43970 0.00000
 398  0.42537 0.00000  0.43969 0.00000
 399  0.44209 0.00000  0.43970 0.00000
 400  0.43319 0.00000  0.43970 0.00000
 401  0.44073 0.00000  0.43971 0.00000
 402  0.45096 0.00000  0.43973 0.00000
 403  0.45401 0.00000  0.43971 0.00000
 404  0.44956 0.00000  0.43971 0.00000
 405  0.42893 0.00000  0.43973 0.00000
 406  0.44304 0.00000  0.43975 0.00000
 407  0.43469 0.00000  0.43971 0.00000
 408  0.43855 0.00000  0.43973 0.00000
 409  0.44467 0.00000  0.43974 0.00000
 410  0.44374 0.00000  0.43976 0.00000
 411  0.42964 0.00000  0.43975 0.00000
 412  0.43096 0.00000  0.43972 0.00000
 413  0.44618 0.00000  0.43976 0.00000
 414  0.44237 0.00000  0.43977 0.00000
 415  0.43398 0.00000  0.43982 0.00000
 416  0.44341 0.00000  0.43983 0.00000
 417  0.42792 0.00000  0.43974 0.00000
 418  0.43442 0.00000  0.43976 0.00000
 419  0.43815 0.00000  0.43974 0.00000
 420  0.43558 0.00000  0.43969 0.00000
 421  0.43853 0.00000  0.43976 0.00000
 422  0.44076 0.00000  0.43973 0.00000
 423  0.43833 0.00000  0.43978 0.00000
 424  0.43336 0.00000  0.43969 0.00000
 425  0.43917 0.00000  0.43972 0.00000
 426  0.44145 0.00000  0.43974 0.00000
 427  0.43161 0.00000  0.43974 0.00000
 428  0.43606 0.00000  0.43973 0.00000
